"missing_date","logger","complete_nobs","mon","year","tmin_logger","fit","lwr","upr","se","adjr2","pval","RMSE","method"
2010-01-12,"cr23x",22,"1",2010,-4.953,-7.09243127068547,-8.64618561235375,-5.53867692901719,0.424888738125251,0.950022741842722,1.07507324950406e-14,0.611791268949059,"cr23x 2wk lm"
2010-01-13,"cr23x",22,"1",2010,-10.06,-11.5037893376691,-12.8185290332576,-10.1890496420806,0.215594442314851,0.953552235918147,5.16022995550632e-15,0.592259319449928,"cr23x 2wk lm"
2010-01-14,"cr23x",22,"1",2010,-11.51,-12.7539665093419,-13.986143456908,-11.5217895617758,0.159805931794992,0.955012021234227,3.74713924590035e-15,0.568671797784558,"cr23x 2wk lm"
2010-01-15,"cr23x",22,"1",2010,-13.03,-14.0738308753494,-15.2965362565281,-12.8511254941707,0.126432497646367,0.948799161099309,1.37001487181893e-14,0.572360646361299,"cr23x 2wk lm"
2010-01-16,"cr23x",22,"1",2010,-6.069,-8.08659837152764,-9.4337370498819,-6.73945969317338,0.310407155826052,0.959293284232022,1.37581276316422e-15,0.566321091588518,"cr23x 2wk lm"
2010-01-17,"cr23x",22,"1",2010,-7.23,-9.05917645458611,-10.3574265419787,-7.7609263671935,0.26979022084995,0.960085657301352,1.1298845602301e-15,0.560859192779308,"cr23x 2wk lm"
2010-01-18,"cr23x",22,"1",2010,-7.69,-9.44702293945058,-10.7268614536439,-8.16718442525725,0.25304443018793,0.959862843642442,1.19468572177308e-15,0.558936091766472,"cr23x 2wk lm"
2010-02-12,"cr23x",27,"2",2010,-14.28,-15.1936117257353,-16.490732551543,-13.8964908999276,0.121358070228695,0.926056787720684,7.27331725021512e-16,0.618008574292118,"cr23x 2wk lm"
2010-02-13,"cr23x",27,"2",2010,-13.62,-14.5637872062546,-15.9589116107938,-13.1686628017154,0.138256744656687,0.925144190876538,8.48225921963263e-16,0.663137406989424,"cr23x 2wk lm"
2010-05-27,"cr23x",28,"5",2010,3.786,1.24542748480282,-2.03743594683561,4.52829091644125,0.365999375493902,0.88629240126384,5.31814651329175e-14,1.55458602006235,"cr23x 2wk lm"
2010-09-21,"cr23x",21,"9",2010,4.986,1.7546589232075,0.157195104045126,3.35212274236987,0.195196000439816,0.891836638676186,7.76590028249759e-11,0.737849748930315,"cr23x 2wk lm"
